Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668442;6441;Livsmedel;212,40
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668389;6442;Ekologiska livsmedel;3 358,20
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668424;6442;Ekologiska livsmedel;904,84
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668389;6441;Livsmedel;2 077,52
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668417;6441;Livsmedel;943,30
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668421;6441;Livsmedel;186,74
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685771;6442;Ekologiska livsmedel;439,41
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685769;6442;Ekologiska livsmedel;716,02
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685771;6441;Livsmedel;1 702,31
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601666019;6441;Livsmedel;6 702,05
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668440;6441;Livsmedel;2 262,04
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668441;6441;Livsmedel;454,73
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685751;6441;Livsmedel;12 452,89
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685768;6441;Livsmedel;1 266,77
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685769;6441;Livsmedel;1 055,91
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685766;6441;Livsmedel;143,37
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685767;6441;Livsmedel;3 584,19
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685767;6442;Ekologiska livsmedel;1 831,73
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685758;6441;Livsmedel;1 187,68
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685759;6441;Livsmedel;1 383,55
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685765;6441;Livsmedel;1 215,87
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685748;6441;Livsmedel;910,44
